SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
242,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,3-Jan,6-May,,40425,Marla,780
243,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Link Road,2,8;12;20,,3353515,Acre,510
244,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Link Road,3,16;24,,3353515,Acre,510
245,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Link Road,5,15;17;23,,3353515,Acre,510
246,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Link Road,6,3;9-10,,3353515,Acre,510
247,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Link Road,7,7-May,,2344822,Acre,470
248,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,4,24,,2344822,Acre,470
249,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,Apr-47,16,,2344822,Acre,470
250,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,2-Jan,16;24,,2344822,Acre,470
251,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,1-6;8-47,7-May,,2344822,Acre,470
252,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,Jan-47,"4;11;25;1-2;13-14;18-
19;21-22",,2344822,Acre,470
253,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,4-Jan,15;17;23,,2344822,Acre,470
254,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,1-5;7-47,3;9-10,,2344822,Acre,470
255,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,1;3-47,8;12;20,,2344822,Acre,470
256,Depal Pur,Basir Pur,Chishti No Abad,Agricultural,Off Road,Jun-47,15;17;23-24,,2344822,Acre,470
257,Depal Pur,Basir Pur,Chishti No Abad,Residential,Link Road,2,8;12;20,,42577,Marla,780
258,Depal Pur,Basir Pur,Chishti No Abad,Residential,Link Road,3,16;24,,42577,Marla,780
259,Depal Pur,Basir Pur,Chishti No Abad,Residential,Link Road,5,15;17;23,,42577,Marla,780
260,Depal Pur,Basir Pur,Chishti No Abad,Residential,Link Road,6,3;9-10,,42577,Marla,780
261,Depal Pur,Basir Pur,Chishti No Abad,Residential,Link Road,7,7-May,,46983,Marla,780
262,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,4,24,,38609,Marla,780
263,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,7,1,,46983,Marla,780
264,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,Apr-47,16,,38609,Marla,780
265,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,Jun-47,15;17;23-24,,38609,Marla,780
266,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,1-6;8-47,1;5-7,,38609,Marla,780
267,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,1-5;7-47,3;9-10,,38609,Marla,780
268,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,2-Jan,16;24,,38609,Marla,780
269,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,1;3-47,8;12;20,,38609,Marla,780
270,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,Jan-47,"2;4;11;25;13-14;18-
19;21-22",,38609,Marla,780
271,Depal Pur,Basir Pur,Chishti No Abad,Residential,Off Road,4-Jan,15;17;23,,38609,Marla,780
272,Depal Pur,Basir Pur,Chishti Qutab Din,Agricultural,Off Road,Jan-84,25-Jan,,3281172,Acre,470
273,Depal Pur,Basir Pur,Chishti Qutab Din,Residential,Off Road,1-23;26-84,25-Jan,,41087,Marla,780
274,Depal Pur,Basir Pur,Chishti Qutab Din,Residential,Off Road,24-25,25-Jan,,70436,Marla,780
275,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Link Road,26,10,,3093338,Acre,510
276,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,1,21,,2836534,Acre,470
277,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,10,12-19;2-9;22-25,,2836534,Acre,470
278,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,14,19-22;2-4;8-9,,2836534,Acre,470
279,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,15,13-15,,2836534,Acre,470
280,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,2,2,,2836534,Acre,470
281,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,20,2;9;21,,2836534,Acre,470
282,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,27,10;1-3,,2836534,Acre,470
283,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,3,21-23,,2836534,Acre,470
284,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,6,17-23,,2836534,Acre,470
285,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,8,9,,2836534,Acre,470
286,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,24-25,10,,2836534,Acre,470
287,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,3-Jan,11-17;3-9,,2836534,Acre,470
288,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,6-May,11-16;3-9,,2836534,Acre,470
289,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,7-May,10;1-2,,2836534,Acre,470
290,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,3-Feb,18-20;24-25,,2836534,Acre,470
291,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,26-27,6-Apr,,2836534,Acre,470
292,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,2-Jan,1;10,,2836534,Acre,470
293,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,24-27,11-12;20-24,,2836534,Acre,470
294,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,25-27,25;7-9;13-19,,2836534,Acre,470
295,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,19-20,12-19;22-25;3-8,,2836534,Acre,470
296,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Agricultural,Off Road,14-15,1;10-12,,2836534,Acre,470
297,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,16,5;16,,38587,Marla,780
298,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,17,10;21,,38587,Marla,780
299,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,22,1;11;21,,38587,Marla,780
300,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,23,25;5-6;15-16,,38587,Marla,780
301,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,25,6-May,,38587,Marla,780
302,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,26,1;10,,38587,Marla,780
303,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Link Road,8,20-21,,38587,Marla,780
304,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,14,19-22;2-4;8-9,,38587,Marla,780
305,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,15,13;15,,38587,Marla,780
306,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,16,21,,38587,Marla,780
307,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,16,13;15;18;23-25;6-8,,70436,Marla,780
308,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,27,1;10,,38587,Marla,780
309,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,23-25,1,,38587,Marla,780
310,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,14-16;18-25,10,,38587,Marla,780
311,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,14-27,12,,38587,Marla,780
312,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,15-27,14,,38587,Marla,780
313,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,25-27,25;15-16,,38587,Marla,780
314,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,14-21,1;11,,38587,Marla,780
315,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,18-21,21;25;5-6;15-16,,38587,Marla,780
316,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,16-27,9;17;22;19-20;2-4,,38587,Marla,780
317,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,23-27,11;21,,38587,Marla,780
318,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,26-27,6-May,,38587,Marla,780
319,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,17-27,13;18;23-24;7-8,,38587,Marla,780
320,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,9-Jan,1;10-11,,38587,Marla,780
321,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,9;1-7,20-21,,38587,Marla,780
322,Depal Pur,Basir Pur,Dhol Faqir Bakhash,Residential,Off Road,10-Jan,12-19;2-9;22-25,,38587,Marla,780
323,Depal Pur,Basir Pur,Faqeeria,Agricultural,Off Road,1;13-58;4-11,25-Jan,,674876,Acre,470
324,Depal Pur,Basir Pur,Faqeeria,Residential,Off Road,1;13-58;4-11,25-Jan,,40425,Marla,780
325,Depal Pur,Basir Pur,Faqeeria,Residential,Off Road,12;2-3,25-Jan,,49193,Marla,780
326,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,14,25-Jan,,2836534,Acre,510
327,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,20,13;7-10,,2836534,Acre,510
328,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,21,13;22-25,,2449137,Acre,510
329,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,21,13/13,,2836534,Acre,510
330,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,22,13;16-19;21-24,,2836534,Acre,510
331,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,4,16;21-25,,2449137,Acre,510
332,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,21-22,15,,2836534,Acre,510
333,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,13-Jun,16-23,,2449137,Acre,510
334,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,20-22,14;11-12,,2836534,Acre,510
335,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,15-18;23-37,25-Jan,,2449137,Acre,510
336,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,4-Jan,17-20,,2449137,Acre,510
337,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,13-Apr,1-5;10-15,,2449137,Acre,510
338,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,2-Jan,1-5;10-16;21-25,,2449137,Acre,510
339,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,12-Jun,24-25,,2449137,Acre,510
340,Depal Pur,Basir Pur,Ghalan,Agricultural,Link Road,13-Jan,9-Jun,,2449137,Acre,510
341,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,20,10-Jul,,38587,Marla,780
342,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,21,25;13/13,,38587,Marla,780
343,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,4,16;21-25,,38587,Marla,780
344,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,21-37,15;22-24,,38587,Marla,780
345,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,18-Apr,1-5;10-15,,38587,Marla,780
346,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,18-Jun,16-23,,38587,Marla,780
347,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,22-37,21;16-19,,38587,Marla,780
348,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,2-Jan,1-5;10-16;21-25,,38587,Marla,780
349,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,4-Jan,17-20,,38587,Marla,780
350,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,23-37,20;25;1-10,,38587,Marla,780
351,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,14-18;6-12,24-25,,38587,Marla,780
352,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,18-Jan,9-Jun,,38587,Marla,780
353,Depal Pur,Basir Pur,Ghalan,Residential,Link Road,20-37,14-Nov,,38587,Marla,780
354,Depal Pur,Basir Pur,Ghalan,Residential,Off Road,19,25-Jan,,58697,Marla,780
355,Depal Pur,Basir Pur,Gul Shah,Agricultural,Link Road,10,17-Nov,,2836534,Acre,510
356,Depal Pur,Basir Pur,Gul Shah,Agricultural,Link Road,15,11;13;7-9;1-5,,2836534,Acre,510
357,Depal Pur,Basir Pur,Gul Shah,Agricultural,Link Road,4,24;1-7;14-21,,2836534,Acre,510
358,Depal Pur,Basir Pur,Gul Shah,Agricultural,Link Road,6,21-25,,2836534,Acre,510
359,Depal Pur,Basir Pur,Gul Shah,Agricultural,Off Road,16-35,18-Jan,,2449137,Acre,470
360,Depal Pur,Basir Pur,Gul Shah,Agricultural,Off Road,16-27;29-35,19-25,,2449137,Acre,470
361,Depal Pur,Basir Pur,Gul Shah,Agricultural,Off Road,5;7-9;1-2;11-14,25-Jan,,2449137,Acre,470
362,Depal Pur,Basir Pur,Gul Shah,Residential,Link Road,10,17-Nov,,38587,Marla,780
363,Depal Pur,Basir Pur,Gul Shah,Residential,Link Road,15,11;13;7-9;1-5,,38587,Marla,780
364,Depal Pur,Basir Pur,Gul Shah,Residential,Link Road,4,24;1-7;14-21,,38587,Marla,780
365,Depal Pur,Basir Pur,Gul Shah,Residential,Link Road,6,21-25,,38587,Marla,780
366,Depal Pur,Basir Pur,Gul Shah,Residential,Off Road,23,15-Jan,,46957,Marla,780
367,Depal Pur,Basir Pur,Gul Shah,Residential,Off Road,16-35,16-18,,38587,Marla,780
368,Depal Pur,Basir Pur,Gul Shah,Residential,Off Road,16-22;24-35,15-Jan,,38587,Marla,780
369,Depal Pur,Basir Pur,Gul Shah,Residential,Off Road,5;7-9;1-2;11-14,25-Jan,,38587,Marla,780
370,Depal Pur,Basir Pur,Gul Shah,Residential,Off Road,16-27;29-35,19-25,,38587,Marla,780
371,Depal Pur,Basir Pur,Guru Wala,Agricultural,Link Road,31,16;25,,3739006,Acre,510
372,Depal Pur,Basir Pur,Guru Wala,Agricultural,Link Road,33,17;14-15,,3739006,Acre,510
373,Depal Pur,Basir Pur,Guru Wala,Agricultural,Link Road,34,8;12-13,,3739006,Acre,510
374,Depal Pur,Basir Pur,Guru Wala,Agricultural,Link Road,33-34,11,,3739006,Acre,510
375,Depal Pur,Basir Pur,Guru Wala,Agricultural,Off Road,33,6;21,,3739006,Acre,510
376,Depal Pur,Basir Pur,Guru Wala,Agricultural,Off Road,34,10-Sep,,3739006,Acre,510
377,Depal Pur,Basir Pur,Guru Wala,Agricultural,Off Road,Jan-56,1-10;12-13;18-24,,3351600,Acre,470
378,Depal Pur,Basir Pur,Guru Wala,Agricultural,Off Road,1-32;35-56,11;17;14-15,,3351600,Acre,470
379,Depal Pur,Basir Pur,Guru Wala,Agricultural,Off Road,1-30;32-56,16;25,,3351600,Acre,470
380,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,17,8;19;25;13-14;21-22,,70436,Marla,780
381,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,18,15;5-6;10-11,,70436,Marla,780
382,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,31,16;25,,46957,Marla,780
383,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,32,16,,70436,Marla,780
384,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,33,17,,46957,Marla,780
385,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,33,11;13-15,,70436,Marla,780
386,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,34,8;12-13,,42554,Marla,780
387,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,34,8;11-13,,46957,Marla,780
388,Depal Pur,Basir Pur,Guru Wala,Residential,Link Road,17-18,20;17-18,,70436,Marla,780
389,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,17,15;23-24;10-11,,70436,Marla,780
390,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,18,8;19;21;1-4;13-14,,70436,Marla,780
391,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,32,25,,70436,Marla,780
392,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,33,12;16,,70436,Marla,780
393,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,33,6;21,,46957,Marla,780
394,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,34,10-Sep,,46957,Marla,780
395,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,19-30;34-56,16,,42554,Marla,780
396,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,18-30;33-56,25,,42554,Marla,780
397,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,19-33,8,,42554,Marla,780
398,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,16-Jan,25-Jul,,42554,Marla,780
399,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,17-Jan,6-Jan,,42554,Marla,780
400,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,17-18,7;9;12;16,,70436,Marla,780
401,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,19-32,17;11-15,,42554,Marla,780
402,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,18-56,22-24,,42554,Marla,780
403,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,19-56,1-7;18-21;9-10,,42554,Marla,780
404,Depal Pur,Basir Pur,Guru Wala,Residential,Off Road,35-56,8;17;11-15,,42554,Marla,780
405,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,22,11;19-20;22-23,,2320001,Acre,510
406,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,23,6;14-16,,2320001,Acre,510
407,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,29,4-Mar,,2320001,Acre,510
408,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,30,11;23;19-20,,2063206,Acre,470
409,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,30,11;23;19-20,,2320001,Acre,510
410,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,65,15,,2063206,Acre,470
411,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,65,17;23-24,,2320001,Acre,510
412,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,67,17,,2320001,Acre,510
413,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,68,6,,2320001,Acre,510
414,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,68,6;12-13,,2063206,Acre,470
415,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,69,11;14-15,,2320001,Acre,510
416,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,70,5;9;13,,2063206,Acre,470
417,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,70,5;9,,2320001,Acre,510
418,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,71,1;10;3-4,,2063206,Acre,470
419,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,71,1;10;3-4,,2320001,Acre,510
420,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,66-69,12,,2320001,Acre,510
421,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,66-70,13,,2320001,Acre,510
422,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,70-71,8-Jul,,2063206,Acre,470
423,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,65-67,18;15-16,,2320001,Acre,510
424,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,70-71,8-Jul,,2320001,Acre,510
425,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Link Road,66-67,11;14;19-20,,2320001,Acre,510
426,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,29,15;6-7,,2320001,Acre,510
427,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,30,18;24,,2320001,Acre,510
428,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,37,10,,2320001,Acre,510
429,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,38,5,,2320001,Acre,510
430,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,68,11;19-20,,2320001,Acre,510
431,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,68,11;14-25,,2063206,Acre,470
432,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,69,7;9,,2320001,Acre,510
433,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,70,4;11-12,,2320001,Acre,510
434,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,70,11-12;14-25,,2063206,Acre,470
435,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,71,9,,2320001,Acre,510
436,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,23-70,1,,2063206,Acre,470
437,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,31-65,11,,2063206,Acre,470
438,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,30-64,15,,2063206,Acre,470
439,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,24-64,16,,2063206,Acre,470
440,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,23-145,2,,2063206,Acre,470
441,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,30-67;69-145,6,,2063206,Acre,470
442,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,68-69,8,,2320001,Acre,510
443,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,30-65,14-Dec,,2063206,Acre,470
444,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,24-28,15-Jun,,2063206,Acre,470
445,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,23-64,17-18;21-22;24-25,,2063206,Acre,470
446,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,30-69,5;7-9,,2063206,Acre,470
447,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,23-29;31-64,23;19-20,,2063206,Acre,470
448,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,72-145,1;10-25;3-4;7-8,,2063206,Acre,470
449,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,69-70,6;10,,2320001,Acre,510
450,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,23-28,5-Mar,,2063206,Acre,470
451,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,71-145,5;9,,2063206,Acre,470
452,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,21-Jan,25-Jan,,2063206,Acre,470
453,Depal Pur,Basir Pur,Hamon No Abad,Agricultural,Off Road,30-70,10;3-4,,2063206,Acre,470
454,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,22,25-Jan,,58697,Marla,780
455,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,23,6;14-16,,38587,Marla,780
456,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,29,4-Mar,,46957,Marla,780
457,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,30,11;20;23-24,,38587,Marla,780
458,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,37,10,,38587,Marla,780
459,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,38,5,,38587,Marla,780
460,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,65,17;23-24,,38587,Marla,780
461,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,67,17,,38587,Marla,780
462,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,68,8,,38587,Marla,780
463,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,69,7;9;11;14-15,,38587,Marla,780
464,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,70,4,,38587,Marla,780
465,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,71,1;8,,38587,Marla,780
466,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,66-69,13,,38587,Marla,780
467,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,66-68,19,,38587,Marla,780
468,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,68-69,6,,38587,Marla,780
469,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,69-70,10;12,,38587,Marla,780
470,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,66-67,20;11-12;14-15,,38587,Marla,780
471,Depal Pur,Basir Pur,Hamon No Abad,Residential,Link Road,65-67,16;18,,38587,Marla,780
472,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,29,1-2;5-15,,46957,Marla,780
473,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,68,14;16-18;20-25;11-12,,38587,Marla,780
474,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,70,11;13-14;13-25,,38587,Marla,780
475,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,30-70,1,,38587,Marla,780
476,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,30-36;38-68,10,,38587,Marla,780
477,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,31-65,11,,38587,Marla,780
478,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,68-65;70-68;72-70,15,,38587,Marla,780
479,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,24-64,16,,38587,Marla,780
480,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,30-69,4,,38587,Marla,780
481,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,30-37;39-145,5,,38587,Marla,780
482,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,69-70,8,,38587,Marla,780
483,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,30-65,15-Dec,,38587,Marla,780
484,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,21-Jan,25-Jan,,38587,Marla,780
485,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,23-29;31-64,20;23-24,,38587,Marla,780
486,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,71-145,4;10,,38587,Marla,780
487,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,23-28,5-Jan,,38587,Marla,780
488,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,30-145,3-Feb,,38587,Marla,780
489,Depal Pur,Basir Pur,Hamon No Abad,Residential,Off Road,23-64,25;17-19;21-22,,38587,Marla,780
